event_id,title,category,venue_name,neighborhood
a6650b0b-825d-8573-0f12-79f3aaadbd78,"Kids In Motion: Lower Highland Playground","Family & kids","Highland Park",""
e2c5a304-9908-5002-c555-e028a3f683de,"Kids in Motion: Al Quinones Playground","Family & kids","Al Qui&#241;ones Playground",""
806d1965-f99c-fe9c-4ae2-40a3bc8682ee,"Kids In Motion: Bowne Playground","Family & kids","Bowne Playground",""
6418710b-2ea0-72e6-8595-e151019b385d,"Kayaking - July 30","Running & fitness","Pier 2, Brooklyn Bridge Park","Brooklyn Bridge Park"
eb570bb2-2dab-374b-be36-4659d6286fea,"Kids In Motion: Brookville Park","Family & kids","Brookville Park",""
e34a20bd-d7e6-1921-5562-29fcf73e2247,"Kayaking - July 29","Running & fitness","Pier 2, Brooklyn Bridge Park","Brooklyn Bridge Park"
4e1eb9a8-cdef-8cbc-f99e-ca372a796017,"Kids In Motion: Bloomingdale Playground","Family & kids","Bloomingdale Playground",""
e1aa20c4-90fe-e8a7-925a-ff17f1edb48b,"Ice Cream Social","Food","",""
4d994992-4e45-de56-6b9b-bef61b77439f,"Afternoon Gardening Thursday at Shoelace Park","Gardening","",""
f4da2d3b-f0dd-8fd0-85e8-e7b16436b1ce,"The Limbo Talk Show 5001st Anniversary Special","Film & cinema","Brooklyn Comedy Collective",""
b835a9ea-a3db-1d27-8da9-698e166deaa2,"Movement in the Park - July 31","Running & fitness","Pier 2 Turf, Brooklyn Bridge Park","Brooklyn Bridge Park"
52a4f478-0dd7-421e-4fe3-bd62db7e6848,"Summer on the Hudson: Story Hour!","Family & kids","Riverside Park",""
5d90601b-7768-a1ab-8660-b929c3b26460,"Monday Morning Pitch In to Pick Up","Workshops","Starlight Park",""
bdc14067-d5c2-675e-ffb4-12e91372c62a,"Kids in Motion: Metcalf Playground","Family & kids","Soundview Park",""
2e0188f1-f5e5-b076-428d-1bc6b59f6b2b,"Kids In Motion: Addabbo Playground","Family & kids","Tudor Park",""
6b38924a-2ac2-126d-2cad-31611f678310,"Summer Scares Book Discussion: Just Like Home","Books & readings","Roosevelt Island Library - 504 Main St, New York, NY 10044",""
1c6c350f-d5bf-fade-ea3a-cef46572f1fd,"TADA! Youth Theater Original Musical: THE LITTLE MOON THEATER","Family & kids","Flatiron Plazas",""
1334194d-8340-735c-a765-a92592022cda,"Kids In Motion: Northern Playground","Family & kids","Northern Playground",""
3bcffc43-a19c-d820-3739-12e8d7992bdd,"Midtown Music in Greeley Square Park","Free Summer Concerts","Greeley Square Park",""
c500fa33-c1ad-f30e-fa76-c88d29b15e91,"Yoga in the Park","Yoga & Pilates Classes","Van Cortlandt Park",""
4835cc37-3f94-2c2d-29a2-d6e1001767b5,"It's My Park at Greenwood Playground","It's My Park","Greenwood Playground",""
e480d437-ad73-f108-8896-fe0bc2b706a8,"Sunset Salsa","Dance","Pier 76, Hudson River Park","Pier 76"
3e251a1f-d441-e3ec-9e0a-a1faa82dee60,"NYPL Storytime Under the Trees","Family & kids","Washington Square Park",""
572b1c73-28ff-1b8e-179c-93014b623ecc,"Kids in Motion: Loreto Playground","Family & kids","Loreto Playground",""
6b414483-0c8f-7a00-1f5c-d953ca3d8c45,"The Teach Me Something Podcast Experience","Film & cinema","Berkeley College New York City Midtown Campus",""
b69179dc-2ccc-c125-bde9-f44ab44f6d68,"Kids in Motion: Sol Lain Playground","Family & kids","Sol Lain Plgd",""
d8434141-2de2-3cac-e27c-4fe8dcffad2a,"Nature Talks at Bryant Park Reading Room: Nature and Humanity","Accessible Activities","Bryant Park",""
f749b607-9d08-a926-659e-d3f1fb666aa1,"Greenbelt Adult Hike &#8211; Acme Pond","Hiking","Wolfe's Pond Park",""
bf5a53ed-6757-0129-20d7-7575bec5142b,"Moves with Lim&#243;n Dance at Bryant Park","Dance Classes","Bryant Park",""
f0f7a0db-c28a-ddeb-484c-5452068e53e7,"Hudson Classical Theater Company presents: The Dancing Men","Free Summer Theater","Riverside Park",""
83c985e8-660e-c22a-71c6-ff88c374674b,"Queens Jazz Trail Concert: John Yao & His 17-Piece Instrument","Free Summer Concerts","Bowne Park",""
1cb0c42d-f7a5-3ef3-9dde-ab757fa88e8a,"Skyline CircleSing with Gaia Music Collective - July","Live music","Pier 3 Greenway Terrace, Brooklyn Bridge Park","Brooklyn Bridge Park"
8c2fc2ce-6a0d-26ed-dabe-01809d6f343a,"$25 Brooklyn Cyclones Baseball Tix + Drinks","Food & dining","Maimonides Park",""
3732c5a8-e63f-4959-881e-5a030b1690d0,"Kids in Motion: Tompkins Square Park","Family & kids","Tompkins Square Park",""
4e676b73-a5d3-3aec-2b1b-f1404886ca43,"P&#233;tanque in the Park","Outdoor Fitness","Washington Square Park",""
3a8ab712-1a7e-a8f7-0d0b-57e7337c8e43,"Prospect Park Yoga","Yoga","Prospect Park",""
34d07d42-6c6f-4377-5afb-48b5553079a4,"Kids In Motion: Astoria Heights Playground","Family & kids","Astoria Heights Playground",""
6c1616d1-399f-0ad3-fcba-9427dbb0daea,"It's My Park at Sunset Park","It's My Park","Sunset Park",""
29de4e91-7aa1-ae7d-738b-bad0e0aed9b6,"TADA! Youth Theater’s Original Musical – THE LITTLE MOON THEATER","Family & kids","Flatiron Plazas",""
19fc9dbb-edb3-48dd-9625-3e784a539842,"Kids in Motion: Willis Playground","Family & kids","Willis Playground",""
3ace9c2a-63e3-5617-a68c-106e5c390e0e,"Kids In Motion: Corona Golf Playground","Family & kids","Corona Golf Playground",""
87095fd8-ff8f-68d8-2fff-6538d15da977,"Kids in Motion: St. James Playground","Family & kids","St. James Park",""
9e0c79d3-f989-8865-d136-3a1824c49e13,"Teen Service Series: Green Prospect Park","Volunteer","Prospect Park",""
0d5a099e-5133-eb13-083e-41e523ab060f,"7/31 Restoration Fridays at Highland Park","Gardening","Highland Park",""
9557c937-cc6c-39a1-298d-5ba4961fd448,"Kids In Motion: Haggerty Park","Family & kids","Haggerty Park",""
b93a6dc0-3c4e-b2a4-dd62-f43dc782e58f,"Our Vibe Check: Youth Mental Health Festial","Family & kids","",""
43e68757-853f-7b9d-d285-116a0d41a877,"BookClub","Books & readings","Bryant Park","Midtown"
d48756a2-ddb4-fa26-d550-90a791013fc6,"Kayaking (Saturdays) - August 1","Running & fitness","Pier 2, Brooklyn Bridge Park","Brooklyn Bridge Park"
9fc64355-1011-5e50-741f-5fa25db50a20,"Kids In Motion: Hoover-Manton Playgrounds","Family & kids","Hoover - Manton Playgrounds",""
dd19f183-b70d-27d6-d525-062e393063a0,"Kids in Motion: Samuel Seabury Playground","Family & kids","Samuel Seabury Playground",""
0ade51c9-7cca-2848-2928-b8fab5a052c5,"Kids In Motion: The Big Park","Family & kids","The Big Park",""
ceaf1af0-3f35-68b0-8885-6be49c63a890,"8/1 Forest Restoration at Strack Pond","Gardening","Forest Park",""
9075d494-c8b6-453d-78b3-7de4802faaa7,"It's My Park at Cooper Park","It's My Park","Cooper Park",""
d415d8a3-9239-4bd4-3e08-59461ff95414,"Kids In Motion: Grover Cleveland Playground","Family & kids","Grover Cleveland Playground",""
cc7ade22-64c1-289b-5a4e-b5a6d53879c9,"Kids in Motion: Columbus Park","Family & kids","Columbus Park",""
3289d7f5-eb61-65f4-c255-454e0490150c,"Plant and Seed Swap","Hiking & parks","Bryant Park","Midtown"
a989343e-9532-b77a-ac69-a7cc40e8eb46,"Kids In Motion: Lawrence Virgilio Playground","Family & kids","Lawrence Virgilio Playground",""
df4f8afa-34c9-df53-82a3-23d5639a67b5,"Summer on the Hudson: Everybody Tango!","Dance Classes","West Harlem Piers",""
a381c4c9-c334-f39b-7cbc-f67da452832e,"Amp'd Bootcamp - July 29","Running & fitness","Pier 2 Turf, Brooklyn Bridge Park","Brooklyn Bridge Park"
6cac0c5f-e048-d50b-e05a-63463009b0af,"Kids In Motion: Phil ""Scooter"" Rizzuto Park","Family & kids","Phil ""Scooter"" Rizzuto Park",""
08a16fca-2eaf-013d-1d73-75a970d077ac,"Kids in Motion: Spuyten Duyvil Playground","Family & kids","Spuyten Duyvil Playground",""
b025d77d-0acb-7068-18d6-a85473cdcc2c,"Zumba under the Stars W/Lisa G Rockazumbaway","NYC Parks Fitness Expo","Rockaway Beach and Boardwalk",""
4731de51-4fd8-c601-5198-de2ebda8ad48,"One Book One Bronx book club","Accessible Activities","",""
bc160866-0c57-ed6a-0350-8cbeb5058117,"Kids in Motion: Ben Abrams Playground","Family & kids","Bronx Park",""
